text,label,max_sent
"@Varg_I_Veum @DuHugonotte Wo sie recht haben ,haben sie recht.Der Schnitt ist Nano-Technologie.Ein wehleidiger Dorfbürgermeister der zudem noch Chef der Wasserwerke ist , die einem deutschen Bürger das Wasser abdreht,während die Asylanten keine Rechnung bezahlen !Ungerechtigkeit über alles!!!!!!!!!!!!!!!",HATE,37
"ein wichtiges Signal an die Patienten, die Beschäftigten, ih- re Familien und für die Gesundheitsregion Mittelhessen) – Drucks. 19/4941 – ................................................7606 Abgehalten ...............................................................7616 Ausgegeben am 10. Juli 2017 Hessischer Landtag, Postfach 3240, 65022 Wiesbaden 67. Dringlicher Entschließungsantrag der Frak- tionen der CDU und BÜNDNIS 90/DIE GRÜ- NEN betreffend Zukunftskonzept ist großer Erfolg und wichtiges Signal an die Patienten, die Beschäftigten, ihre Familien und für die Gesundheitsregion Mittelhessen – Drucks. 19/4959 – ................................................7606 Angenommen ...........................................................7616 Vizepräsident Dr. Ulrich Wilken ............................ 7617 Dr. Ralf-Norbert Bartelt ......................................... 7606 Jan Schalauske ........................................................ 7607 Handan Özgüven .................................................... 7609 Nicola Beer ............................................................. 7609 Daniel May ............................................................. 7610 Minister Boris Rhein .................................... 7611, 7615 Janine Wissler ......................................................... 7613 Thorsten Schäfer-Gümbel ...................................... 7614 Angela Dorn ........................................................... 7614 56. Antrag der Fraktion DIE LINKE betreffend eine Aktuelle Stunde („Einstürzende Schul- bauten“: marode Schulen mithilfe des Lan- des sanieren, Kommunalinvestitionspro- gramm II reicht nicht aus) – Drucks. 19/4942 – ...............................................7616 Abgehalten ..............................................................7622 Jan Schalauske ........................................................ 7616 Dr. Walter Arnold ................................................... 7617 Brigitte Hofmeyer ................................................... 7618 Eva Goldbach ......................................................... 7619 Dr. h.c. Jörg-Uwe Hahn .......................................... 7620 Minister Dr. Thomas Schäfer ................................. 7621 35. Antrag der Fraktion DIE LINKE betreffend Städte der Zuflucht in Hessen unterstützen – für eine solidarische Asylpolitik statt Ab- schiebungen und Ausgrenzung von Geflüch- teten – Drucks. 19/4916 – ...............................................7622 Dem Innenausschuss überwiesen ............................7634 69. Dringlicher Entschließungsantrag der Frak- tionen der CDU und BÜNDNIS 90/DIE GRÜNEN betreffend Aufnahme und Inte- gration von Flüchtlingen gut gestalten – europaweite Solidarität notwendig – Rück- führung vollziehbar Ausreisepflichtiger – Drucks. 19/4962 – ...............................................7622 Dem Innenausschuss überwiesen ............................7634 Vizepräsident Dr. Ulrich Wilken ............................ 7606 Gabriele Faulhaber ................................................. 7622 Astrid Wallmann .................................................... 7624 Dr. Frank Blechschmidt ............................... 7626, 7628 Dr. Ulrich Wilken ................................................... 7627 Ernst-Ewald Roth ................................................... 7628 Marcus Bocklet ....................................................... 7629 Mürvet Öztürk ........................................................ 7631 Minister Peter Beuth ............................................... 7632 Janine Wissler ......................................................... 7633 31. Antrag der Fraktion der FDP betreffend Be- lastung der Schulen und der Lehrkräfte – Drucks. 19/4888 – ...............................................7634 Dem Kulturpolitischen Ausschuss überwiesen .......7647 Wolfgang Greilich ........................................ 7634, 7640, Armin Schwarz ....................................................... 7636 Gabriele Faulhaber ................................................. 7638 Mathias Wagner (Taunus) ............................ 7639, 7641 Christoph Degen ..................................................... 7641 Staatssekretär Dr.",HATE,34
"Hier wird ganz offensichtlich versucht, einen Mediziner
einzuschüchtern und den Kritiker dieser Abschiebepraxis
mundtot zu machen. Was das Landratsamt dort macht, ist
absolut inakzeptabel.
(Beifall bei der LINKEN)
Meine Damen und Herren, seit Monaten erleben wir auf
dem Gebiet der Flüchtlingspolitik einen Wettbewerb der
Schäbigkeiten. Seit das Asylpaket II in Kraft ist, können
selbst schwer kranke Personen abgeschoben werden. Gera-
de habe ich gelesen, dass erst kürzlich in Hamburg ein Af-
ghane jüdischen Glaubens in einer Synagoge vor der Ab-
schiebung Zuflucht gefunden hat. Er sollte nach Afghani-
stan abgeschoben werden, wohl wissend, was dort Ange-
hörigen religiöser Minderheiten droht. Auch das ist voll-
kommen inakzeptabel.
Heute diskutiert der Bundestag über eine weitere Verschär-
fung der Asylgesetze. Das Gesetz zur besseren Durchset-
zung der Ausreisepflicht soll die Rechtsgrundlage für solch
überfallartige Abschiebungen ohne vorherige Ankündi-
gung schaffen.
Für Tausende von Menschen, die hier seit Jahren leben, die
sich geduldet in Deutschland aufhalten, die einer geregel-
ten Beschäftigung nachgehen, deren Kinder in die Schule
gehen, deren Kinder das Herkunftsland ihrer",HATE,32
"@SPOE_at Jetzt könnt ihr es sehen,,, die Nazis in Österreich waren erst gegen Ausländer und Flüchtlinge, jetzt sind Sie an der Macht, und schon geht es den „Arbeitslosen“ an den Kragen.. erinnert Euch, die #AFD will Arbeitslose in Lager senden... |LBR| #NoAfD #afdwürgt",HATE,31
"19. Wahlperiode Plenarprotokoll 19/102 HESSISCHER LANDTAG 23. 03. 2017 102. Sitzung Wiesbaden, den 23. März 2017 Amtliche Mitteilungen ..........................................7155 Entgegengenommen .................................................7155 Vizepräsident Frank Lortz ...................................... 7155 Präsident Norbert Kartmann ................................... 7230 42. Antrag der Fraktion der SPD betreffend eine Aktuelle Stunde (Ständig neue Anforderun- gen, viel Bürokratie und zu wenig Personal an hessischen Grundschulen – wann endlich reagiert die Hessische Landesregierung?) – Drucks. 19/4688 – ................................................7155 Abgehalten ...............................................................7162 Christoph Degen ..................................................... 7155 Armin Schwarz ....................................................... 7156 Wolfgang Greilich .................................................. 7158 Mathias Wagner (Taunus) ....................................... 7159 Gabriele Faulhaber .................................................. 7160 Minister Prof. Dr. R. Alexander Lorz ..................... 7161 46. Antrag der Fraktion der CDU betreffend eine Aktuelle Stunde (Arbeit in die Heimat und zu den Menschen bringen – Hessen stärkt ländli- chen Raum durch Umstrukturierung der Steuerverwaltung) – Drucks. 19/4692 – ................................................7162 Abgehalten ...............................................................7168 Lena Arnoldt ........................................................... 7162 Gerald Kummer ...................................................... 7163 Willi van Ooyen ...................................................... 7164 Dr. h.c. Jörg-Uwe Hahn .......................................... 7165 Eva Goldbach .......................................................... 7166 Minister Dr. Thomas Schäfer .................................. 7167 44. Antrag der Fraktion DIE LINKE betreffend eine Aktuelle Stunde (Abschiebungen aus Schule und Psychiatrie sind unmenschlich – für eine humanitäre Flüchtlingspolitik) – Drucks. 19/4690 – ................................................7168 Abgehalten ...............................................................7176 Janine Wissler ............................................... 7168, 7175 Marcus Bocklet ....................................................... 7169 Ernst-Ewald Roth .................................................... 7170 Astrid Wallmann ..................................................... 7171 Mürvet Öztürk ......................................................... 7172 Wolfgang Greilich .................................................. 7173 Minister Peter Beuth ..................................... 7174, 7176 Günter Rudolph ............................................. 7175, 7176 Holger Bellino ......................................................... 7176 45. Antrag der Fraktion der FDP betreffend eine Aktuelle Stunde (Hessen muss Einwande- rungsgesetz mittragen, Zuwanderung endlich nachvollziehbar steuern – schwarz-grüner Streit setzt sich fort) – Drucks. 19/4691 – ................................................7176 Abgehalten ...............................................................7183 Nicola Beer ............................................................. 7177 Corrado Di Benedetto ............................................. 7178 Alexander Bauer ..................................................... 7178 Gabriele Faulhaber .................................................. 7179 Jürgen Frömmrich ................................................... 7180 Minister Peter Beuth ............................................... 7181 Florian Rentsch ....................................................... 7182 Ausgegeben am 10. Mai 2017 Hessischer Landtag, Postfach 3240, 65022 Wiesbaden 58. Dringlicher Antrag der Fraktion der FDP be- treffend Hessen muss ein Einwanderungsge- setz mittragen – Drucks. 19/4709 – ................................................7183 Abgelehnt ................................................................7183 59. Dringlicher Entschließungsantrag der Frak- tionen der CDU und BÜNDNIS 90/DIE GRÜNEN betreffend Zuwanderungsrecht – Drucks. 19/4718 – ...............................................7183 Angenommen ...........................................................7183 Vizepräsident Frank Lortz",HATE,31
Mal schauen wieviel #Frauen dieses Jahr von illegalen Einwanderern #vergewaltigt oder #belästigt werden. |LBR| Ich hoffe aufrichtig sollte es dieses Jahr #Silvester wieder eskalieren dass sich die Europäer endlich erheben und es zum #Aufstand kommt der in die Geschichte eingehen wird.,HATE,28
"20. Wahlperiode 
Plenarprotokoll 20/24 

HESSISCHER LANDTAG 

30. 10. 2019 

24. Sitzung 
Wiesbaden, den 30. Oktober 2019 

Amtliche Mitteilungen........................................1747 
43. 
EntschließungsantragFraktion der CDU, Fraktion BÜNDNIS 90/ 

Entgegengenommen.............................................1747 

DIE GRÜNEN 
Präsident Boris Rhein.......................................... 
1747 
Starke Kinder, starke Familien  Landesre-
Vizepräsident Dr. Ulrich Wilken......................... 
1794 
gierung stärkt Kinderbetreuung in Hessen 

durch mehr Qualität, mehr Fachkräfte und 
mehr Zeit für die Kinder

47. 
Entschließungsantrag 
 Drucks. 20/1412 .............................................1761

Fraktion der CDU, Fraktion BÜNDNIS 90/
DIE GRÜNEN, Fraktion der SPD, Frakti-Dem Sozial- und Integrationspolitischen Auson 
der Freien Demokraten 
schuss überwiesen................................................1771 
Hass, Ausländerfeindlichkeit, Antisemitis

20. 
Antrag
mus und Angriffe auf die Menschenwürde 

Fraktion der Freien Demokraten 

haben keinen Platz in Deutschland und 

Mehr Unterstützung für Erzieherinnen und 

Hessen 

Erzieher

 Drucks. 20/1419 .............................................1747 

 Drucks. 20/564 ...............................................1761 
Angenommen........................................................1760 

Dem Sozial- und Integrationspolitischen Aus-
Änderungsantrag 
schuss überwiesen................................................1771 
Fraktion der AfD 

44. 
Antrag
 Drucks. 20/1464 .............................................1747 

Fraktion der SPD 
Abgelehnt.............................................................1760 
In die Ausbildung von Erzieherinnen und 
Erziehern investieren  Betreuungsqualität 

69. 
Dringlicher Entschließungsantrag 
steigern

Fraktion DIE LINKE 

 Drucks. 20/1415 .............................................1761

Trauer um die Opfer von Halle  Rechtsterror 
und Antisemitismus stoppen 
Dem Sozial- und Integrationspolitischen Aus 
Drucks. 20/1461 .............................................1747 
schuss überwiesen................................................1771 

Abgelehnt.............................................................1761 
Kathrin Anders.................................................... 
1761 
Christiane Böhm.................................................. 
1762

Michael Boddenberg............................................ 
1747 

Lisa Gnadl............................................................ 
1763

Nancy Faeser....................................................... 
1749 

Claudia Papst-Dippel........................................... 
1765

Mathias Wagner (Taunus).................................... 
1751 

René Rock.................................................. 
1766, 1770

Dimitri Schulz...................................................... 
1752 

Claudia Ravensburg............................................. 
1768

René Rock............................................................ 
1754 

Minister Kai Klose............................................... 
1769

Janine Wissler...................................................... 
1755 
Ministerpräsident Volker Bouffier....................... 
1757 
Robert Lambrou................................................... 
1759 

Ausgegeben am 15. November 2019 
Hessischer Landtag, Postfach 3240, 65022 Wiesbaden",HATE,27
"@DrAndreaKahl1 @DrDavidBerger @focusonline @SteinbachErika @Beatrix_vStorch @AfD Höflichst um Entschuldigung anklopfend gelobe ich Besserung inkl Annäherung an e gute,positivere Grundhaltung bzgl Altparteien und MSM.Zusätzl engagieren sich meine mind.j. Tochter&amp;ich in der einst durch Schokopudding entflammte Unterkunft in #Düsseldorf als Flüchtlingshilfe.😊",HATE,27
"Nein, wir haben genug von dem Zeug gehört.  Aber das 
ist nichts Neues bei Ihnen: Wer von todbringender Messermigration, 
alimentierten Messermännern, Kopftuchmädchen 
und sonstigen Taugenichtsen spricht, Migranten 
als Parasiten und Gesindel bezeichnet, Türkei",HATE,26
"2474 
Hessischer Landtag · 20. Wahlperiode · 31. Sitzung · 29. Januar 2020

Zusammengefasst kann man eigentlich sagen, dass das Interesse 
an Migrantinnen und Migranten nur darin besteht, 
wie man sie am besten dem Niedriglohnsektor zuführen 
kann.",HATE,26
"69. Antrag der Fraktion der SPD betreffend eine
Aktuelle Stunde (Hessens Engagement bei
der Aufnahme von Flüchtlingen verstärken –
Kommunen entlasten)
– Drucks. 19/539 – ....................................................998
Abgehalten ...............................................................1004
Ernst-Ewald Roth ..................................................... 998
Astrid Wallmann ...................................................... 999
Barbara Cárdenas ................................................... 1000
René Rock .............................................................. 1000
Mürvet Öztürk ........................................................ 1001
Minister Peter Beuth ............................................... 1003
Florian Rentsch ....................................................... 1004
70. Antrag der Fraktion der CDU betreffend ei-
ne Aktuelle Stunde (Kein Aufweichen der
Stabilitätskriterien – Debatte der Sozialisten
schadet deutschen und hessischen Interessen)
– Drucks. 19/540 – .................................................1004
Abgehalten ..............................................................1010
Michael Boddenberg .................",HATE,25
"Dabei werden durch diese Unterbringung von Flüchtlingen 
in einem als Studentenwohnheim geeigneten Gebäude die 
Studenten benachteiligt oder sogar diskriminiert, die verzweifelt 
eine Bleibe suchen.",HATE,24
"@AfD_Bayern Richtig so! Allen Nazis in der AFD den Ausweis wegnehmen und Flüchtlinge einen deutschen Ausweis geben, weil die einfach die besseren Menschen sind, als die Nazis",HATE,24
Was soll dass 220.000 Invasoren dürfen kommen + Familiennachzug u Hunderttausende die an der DE Grenze dass Wort Asyl stammeln können |LBR| AFD,HATE,23
"@RvrsApacheMastr @DuHugonotte Ich suche eine bezahlbare Wohnung für eine junge Familie mit 2Kindern. Ist unmöglich da alle von Asylanten beansprucht werden und unser Staat auch Mieten ,wie hoch sie sein mögen,von unseren Steuern bezahlt !",HATE,22
"Herr Präsident, meine Damen und Herren und im Speziellen 
die Damen und Herren der AfD! Herr Lambrou, jetzt 
hat man es Ihnen, glaube ich, viermal sachlich erklärt, wie 
die Situation ist und wie sich die Situation darstellt. Immer 
noch rufen Sie rein: Das befördert illegale Migration.

(Robert Lambrou (AfD): Ich habe es Ihnen auch 
erklärt in meiner Rede!)",HATE,22
"@EickhoffStephan @Tynca1 Alle wirklich Deutschen mit Nationalen Stolz , müssen sich zusammentun und Das Migrations Elend Beenden ,bevor es zu spät ist!",HATE,22
"Bei den nun abgesegneten 1000 Flüchtlingen pro Monat sind die, die die BuReg in Nacht und Nebel Aktionen einfliegt aber nicht dabei.😎",HATE,22
"Streit um Flüchtlings-Obergrenze - So könnten CDU und CSU ihr Gesicht wahren 😜 Wenn eine hässliche Fratze gemeint ist, geht`s 😜",HATE,21
"@Odenwaelderin Dass ist nicht freiwillig,sondern der Geldknappheit der Städte und Gemeinden geschuldet,die Gelder den Asylanten wie Puderzucker in den Hintern blasen.🌬",HATE,21
@berlin2bronx @NiemaMovassat egal wenn ihr was anderes behauptet die einizge Partei die je auf Flüchtlinge schießen lies ist @dieLinke / SED,HATE,21
in ihrem Heimatland scheißen sich die #Flüchtlinge in die Hose und hier in Deutschland lassen Sie die Sau raus @aktuelleStunde #WDR,HATE,21
@krippmarie @jouwatch Facebook ist nur für Posten von Urlaubsbilder geeignet...und den Migranten-Dreck will man uns mit aller Gewalt schönreden..zum kotzen..!!,HATE,20
Das Geseiere dieses Pfaffen Gauck widert jeden Aufrechten nur an!Warum beantragt dieses Objekt der Zersetzung nicht Asyl im gelobten Land?,HATE,20
"@Frank_Pasemann Flüchtlingsboote in Küstennähe torpedieren , dann lernen die Sozialschmarotzer schwimmen .Leider sind unsere U -Boote alle nicht einsatzfähig 🛠⚒🔨⛏🔩🔧⚙️",HATE,20
"#Tuberkulose wurde vermehrt von #Flüchtlingen in Deutschland eingeschleppt. |LBR| Nicht nur dass sie von unser Geld leben, nein jetzt bringen sie auch noch Seuchen mit ins Land. Dank inkompetenter Politiker offener Grenzen, Bahnhofsklatscher und Toleranz Fanatiker.",HATE,19
"@FrankFranz |LBR| Nur hier in D ist das nicht möglich, wegen Rot.-Grün die alles blockieren was gegen Asylwahnsinn geht.",HATE,19
