speaker,party,datum,ft_label,ft_score,text,human_label,notes
Dr. Dr. Rainer Rahn,fraktionslos,2023-07-18,NON_HATE,0.9496,"Herr Minister, vielen Dank.  Verstehe ich Ihre Antwort 
richtig, dass Sie aufgrund des Flüchtlingsgipfels Ihr bisheriges 
Vorgehen bezüglich der Abschiebungen nicht ändern 
werden?",,
Lisa Gnadl,SPD,2022-02-01,NON_HATE,0.9635,"Herr Minister, können Sie sagen, in wie vielen Städten und 
Gemeinden, die jetzt Integrationskommissionen gegründet 
haben oder gründen wollen, vorher institutionalisierte Ausländerbeiräte 
vorhanden waren?",,
Robert Lambrou,AfD,2021-06-17,NON_HATE,0.5128,"Ich würde den Redner gern fragen, inwieweit er mir erklären 
kann, dass der Wohnungsmarkt nicht belastet wird, 
wenn eineinhalb Millionen Menschen, die ihre Wohnungen 
ja nicht mitbringen können, in eine Gesellschaft zuwandern.",,
Frage 253  Saadet Sönmez,DIE LINKE,2020-02-18,NON_HATE,0.9835,"Ich frage die Landesregierung: 

Wird zum Vollzug der länderübergreifenden Verteilung von 
unbegleiteten minderjährigen Flüchtlingen nach § 42a 
SGB VIII unmittelbarer Zwang, wie das Anlegen von 
Handschellen, angedroht oder angewandt?",,
Ulrike Alex,SPD,2023-02-16,NON_HATE,0.9834,"Frau Präsidentin, liebe Kolleginnen und Kollegen! Da Sozialminister 
Klose heute nicht dabei sein kann, weil er 
beim Flüchtlingsgipfel ist, werde ich mit einem Zitat von 
ihm anfangen. Unter der Überschrift Instrument zur zielgenauen",,
Frage 655  Saadet Sönmez,DIE LINKE,2022-02-22,NON_HATE,0.9818,"Ich frage die Landesregierung: 

Welche Abteilung bzw. welches Dezernat welcher hessischen 
Behörde trifft die Entscheidungen betreffend die Beendigung 
der Wohnverpflichtung in einer Aufnahmeeinrichtung, 
wie es in § 49 AsylG geregelt ist?",,
Saadet Sönmez,DIE LINKE,2022-12-06,NON_HATE,0.9672,"Danke sehr, Frau Präsidentin.  Herr Minister, habe ich 
es jetzt richtig verstanden, dass zwar Hinweise gegeben 
wurden, dass Abschiebungen auszusetzen sind, aber die 
erteilten Duldungen und die damit einhergehenden Leistungskürzungen 
beibehalten wurden?",,
Frank-Tilo Becher,SPD,2020-01-28,NON_HATE,0.9603,"Ich frage die Landesregierung: 

Inwiefern wird sie die unabhängige Asylverfahrensberatung 
in den hessischen Erstaufnahmeeinrichtungen einschließlich 
der ihnen zugeordneten selbstständigen und unselbstständigen 
Außenstellen mit Landesmitteln unterstützen?",,
Elisabeth Kula,DIE LINKE,2023-05-23,NON_HATE,0.9661,"Vielen Dank für die Antwort.  Ich würde trotzdem nachfragen 
wollen, wie die Landesregierung plant, die Versorgung 
der unbegleiteten minderjährigen Ausländerinnen 
und Ausländer aufrechtzuerhalten, angesichts der Tatsache, 
dass die Pauschale, die der Bund zuvor für diese Gruppe 
gezahlt hat, nun weggefallen ist.",,
Elisabeth Kula,DIE LINKE,2023-05-23,NON_HATE,0.9817,"Ich frage die Landesregierung: 

Wie bewertet sie den Zwischenruf des Bundesjugendkuratoriums 
mit der Forderung nach einem Nachhaltigkeitsforum 
zu jungen Geflüchteten, angesichts der Versorgungsengpässe 
in der Kinder- und Jugendhilfe und Bildungseinrichtungen, 
für vor allem unbegleitete minderjährige Geflüchtete?",,
Hermann Schaus,DIE LINKE,2019-09-26,NON_HATE,0.9839,"Herr Präsident, ich komme zum Schluss.  Hier ist das Foto, 
das den mutmaßlichen Mörder Stephan E. und Markus 
Hartmann zeigt, die am 1. September 2018 gemeinsam an 
einer berühmten Demonstration der AfD in Chemnitz teilgenommen 
haben. Das ist die Demonstration, bei der auf 
Polizisten und auf Ausländer eingeprügelt wurde.",,
Dr. Dr. Rainer Rahn,fraktionslos,2023-07-18,NON_HATE,0.9853,"Ich frage die Landesregierung: 

Auf welche Weise soll die auf dem Frühlingsgipfel am 

10. Mai 2023 vereinbarte konsequente Abschiebung, insbesondere 
von Straftätern, zukünftig vorgenommen werden, 
bzw. worin sollen sich die zukünftig anzuwendenden 
Maßnahmen von den bisherigen (weitgehend erfolglosen) 
Maßnahmen unterscheiden?",,
Dr. Frank Grobe,AfD,2022-10-11,NON_HATE,0.9354,"Ich frage die Landesregierung: Der Burschenschaftler 
Büchner hatte im Hessischen Landboten über den Blut-
zehnten gesprochen, den die Herrscher abverlangten. Heute 
sind wir beim Blutzweiten. Müssen wir heute auch 
flüchten, wenn wir die Landesregierung kritisieren und wir 
vom Verfassungsschutz als Delegitimierer gebrandmarkt 
werden?",,
Frage 698  Saadet Sönmez,DIE LINKE,2022-05-10,NON_HATE,0.9712,"Ich frage die Landesregierung: 

Welche medizinischen Gründe können vorliegen, die rechtfertigen, 
dass Familien mit minderjährigen Kindern entgegen 
dem § 47 AsylG und angesichts der lediglich notfallmäßigen 
medizinischen Versorgung in hessischen Erstaufnahmeeinrichtungen 
über die Maximaldauer von sechs 
Monaten hinaus in der EAEH verbleiben müssen?",,
Turgut Yüksel,SPD,2021-09-30,NON_HATE,0.9783,"Würden Sie sich hier bei allen Migrantinnen und Migranten 
und allen Minderheiten entschuldigen, wenn ich Ihnen 
das vorlege? Würden Sie dann sagen: Ich entschuldige 
mich für die AfD für das, was sie gesagt hat? Machen Sie 
das? 

(Klaus Gagel (AfD): Ich muss mich doch nicht für 
etwas entschuldigen, was ich gar nicht gesagt habe! 

 Anhaltende Unruhe)",,
Alexander Bauer,CDU,2022-02-01,NON_HATE,0.9873,"Herr Minister, gibt es vergleichbare Kommunalverfassungen 
bundesweit, die ihre Kommunen bei einem Anteil von 

1.000 Personen in ihrer Bürgerschaft dazu verpflichten, eine 
Partizipationsmöglichkeit bzw. ein entsprechendes Gremium, 
entweder in Form eines Ausländerbeirats oder in 
der neu gewählten Form der Integrationskommission, einzurichten? 
Ist Ihnen dies bekannt?",,
Heike Hofmann (Weiterstadt),SPD,2023-03-21,NON_HATE,0.9843,"Herr Innenminister, ich frage Sie, ob Sie es nicht so sehen, 
dass es eine gesamtgesellschaftliche Aufgabe des Bund, 
der Länder und der Kommunen ist, Flüchtlinge adäquat 
unterzubringen  vor allem diejenigen, die dauerhaft und 
zu Recht hier Schutz suchen , und es nicht sachdienlich 
ist, diese Aufgabe Ihrerseits immer wieder aus parteipolitischem 
Kalkül zu betrachten und darzustellen?",,
Frank-Tilo Becher,SPD,2020-06-25,NON_HATE,0.9854,"Ja, ich komme zum Ende.  Setzen Sie ein deutliches Zeichen, 
dass eine humane Flüchtlingspolitik ganz selbstverständlicher 
und alltäglicher Teil in Hessen ist. Ich glaube, 
es wäre ein wichtiges und auch politisch orientierendes Signal 
für unser Land, wenn wir an dieser Stelle jetzt deutlich 
aktiv würden.  Vielen Dank. 

(Beifall SPD, Jan Schalauske und Heidemarie 
Scheuch-Paschkewitz (DIE LINKE))",,
Saadet Sönmez,DIE LINKE,2019-10-31,NON_HATE,0.9793,"Außerdem wurde erlassen, dass Geflüchteten in Helferausbildung 
im Vorfeld der Berufsausbildung Ermessensduldungen 
erteilt werden, bis das Gesetz zur Duldung bei 
Ausbildung und Beschäftigung Anfang nächsten Jahres in 
Kraft tritt. Dadurch kann man nämlich verhindern, dass 
jetzt junge Flüchtlinge abgeschoben werden, die ab Januar 
eigentlich einen Anspruch auf eine Duldung hätten. 

(Beifall DIE LINKE)",,
Saadet Sönmez,DIE LINKE,2022-12-07,NON_HATE,0.9834,"Ich komme noch einmal auf den Haushaltsplan zurück. 
Sie haben es sich dieses Mal wieder nicht nehmen lassen, 
Fördermittel aus dem Einzelplan 08, die für die Integration 
ausgeschrieben sind, dafür zu verwenden, um Ausweisungen 
und Abschiebungen voranzutreiben. 1 Million  haben 
Sie sich dafür vorbehalten. Das können Sie dann für Abschiebungen 
einsetzen.  Vielen Dank für Ihre Aufmerksamkeit. 

(Beifall DIE LINKE)",,
Heiko Scholz,AfD,2019-12-12,NON_HATE,0.9857,"Ich komme zum Schluss.  Eine Islamkunde z. B. im Rahmen 
des Ethikunterrichts, die neutrale und ehrliche Betrachtung 
befürworten wir. Einer Missionierung für den 
Koran  der mit unserer freiheitlich-demokratischen 
Grundordnung unvereinbar ist , welche durch DITIB und 
Ahmadiyya zweifelsohne geschieht, erteilt die AfD eine 
klare Absage. Wir lehnen die Empfehlung des Kulturpolitischen 
Ausschusses ab.  Herzlichen Dank. 

(Beifall AfD)",,
Robert Lambrou,AfD,2023-01-26,NON_HATE,0.9875,"Zum Abschluss stellen Sie sich einmal bitte die Frage, 
warum wir in diesem Land eigentlich so viele Staatsanwälte 
mehr brauchen als früher und inwieweit die völlig 
verfehlte Migrationspolitik von Angela Merkel der letzten 
16 Jahre mit dafür verantwortlich ist. 

(Beifall AfD  Zurufe  Glockenzeichen) 

Zum Schluss noch ein Hinweis: Viele Beamte und Bedienstete 
der Justiz und der Polizei wählen AfD. Und Sie 
wissen, warum.  Vielen Dank. 

(Beifall AfD)",,
René Rock,Freie Demokraten,2022-10-13,NON_HATE,0.9849,"Lieber Herr Lambrou, das hat nicht sehr viel mit dem 
zu tun, was ich vorgetragen habe. Es ist auch keine konkrete 
Frage zu dem, was ich hier ausgeführt habe. Es ist 
mehr eine grundsätzliche Frage, so, wie Sie heute ja sehr 
grundsätzlich argumentiert haben. Am Ende ist immer eine 
Conclusio herausgekommen: dass nämlich die Migration 
an allem schuld ist, was in diesem Land schiefläuft. 

(Beifall Freie Demokraten und vereinzelt SPD) 

Das ist nicht so, Herr Lambrou.",,
Thomas Schäfer (Maintal),Freie Demokraten,,NON_HATE,0.9842,"Jawohl, Herr Präsident.  Auch da müssen wir entspre-
chend handeln.

Wir brauchen Migration in den Arbeitsmarkt, aber nicht 
in die Sozialsysteme. Wir brauchen eine gesellschaftliche 
Akzeptanz. Deswegen müssen wir bei der irregulären Mi-
gration konsequent handeln. Das ist die Herausforderung, 
der wir uns stellen müssen. Wir als Freie Demokraten 
können das mit Sachpolitik und nicht mit Polemik und 
Draufdreschen wie die AfD.  Vielen Dank.

(Beifall Freie Demokraten)",,
Turgut Yüksel,SPD,2021-09-30,NON_HATE,0.9831,"Sie haben gesagt, dass Sie das nicht wissen, dass das anonym 
ist. Ich kann Ihnen das beweisen; ich kann es Ihnen 
auch zeigen. Dann können Sie das auch zurücknehmen und 
sich hier bei allen Migrantinnen und Migranten entschuldigen 
für alle Reden, die Sie bis jetzt hier gehalten haben. 
Würden Sie das tun? Dann würde ich mich freuen. 

(Beifall SPD und DIE LINKE  Klaus Herrmann 
(AfD): Wir haben doch gar nichts gesagt! Dann kann 
man sich auch nicht entschuldigen!  Fortgesetzte 
Zurufe AfD)",,
Saadet Sönmez,DIE LINKE,2022-10-11,NON_HATE,0.9851," jawohl  und weitere nicht nachvollziehbare Maßnahmen 
ergriffen. 
Meine Damen und Herren, es gäbe da eine Reihe von Maßnahmen, 
wie z. B. der Ausbau der InteA-Klassen, niedrigschwellige 
Angebote für geflüchtete Menschen, sich auf 
dem Arbeitsmarkt und auf dem Ausbildungsmarkt zu integrieren. 
Es gäbe da eine Reihe von Maßnahmen und 
Möglichkeiten, um das Fachkräftepotenzial der hiesigen 
Bevölkerung auszuschöpfen. Ergreifen Sie diese bitte auch. 

 Vielen Dank für Ihre Aufmerksamkeit. 
(Beifall DIE LINKE)",,
Saadet Sönmez,DIE LINKE,2022-03-31,NON_HATE,0.9865,"Mein letzter Satz, Herr Präsident.  Das alles nur, damit 
die Landesregierung mit geschönten Statistiken glänzen 
kann. Statt Ihre Zeit also damit zu verbringen, Zahlen hinzubiegen, 
sollten Sie endlich in die Zukunft investieren 
und Personal für diese wichtige Aufgabe rekrutieren. 

Meine Damen und Herren, ich überlasse es Ihrem Urteil, 
ob der Titel der Petition zutrifft, dass Einbürgerungsanträge 
von Migranten absichtlich verzögert werden.  Vielen 
Dank für Ihre Aufmerksamkeit. 

(Beifall DIE LINKE und SPD)",,
Heike Hofmann (Weiterstadt),SPD,2023-07-20,NON_HATE,0.9879,"Herr Präsident, meine Damen und Herren! Diese von der 
AfD beantragte Aktuelle Stunde ist nicht nur überflüssig 
wie ein Kropf, weil wir das alles schon im Innenausschuss 
erörtert haben, sondern sie dient nur dazu, wie wir eben 
gerade wieder von Ihnen gehört haben, Hass und Hetze zu 
säen und gegen Geflüchtete, die in unser Land kommen, 
gegen Menschen, die zu uns kommen, vorzugehen und sie 
zu diffamieren und zu diskreditieren. 

(Beifall SPD  Robert Lambrou (AfD): Es ist wichtig, 
das nochmals im Plenum zu diskutieren!)",,
Lukas Schauder,BÜNDNIS 90/DIE GRÜNEN,2020-05-27,NON_HATE,0.9875,"Sehr geehrte Frau Präsidentin, meine lieben Kolleginnen 
und Kollegen! Ich habe großes Verständnis dafür, dass das 
Thema Abschiebemaßnahmen emotional behandelt wird. 
Aber, liebe Frau Sönmez, an dieser Stelle hört es dann mit 
meinem Verständnis für Ihren Redebeitrag auf. 

(Beifall BÜNDNIS 90/DIE GRÜNEN und CDU  
Lebhafter Widerspruch DIE LINKE) 

 Sie haben ganz viel Schaum vorm Mund.  Ich will es 
auch begründen. 
(Anhaltende Zurufe DIE LINKE) 

Also, dass Sie nicht emotional   

(Jan Schalauske (DIE LINKE): Heute so und morgen 
so!)",,
Saadet Sönmez,DIE LINKE,2021-09-30,NON_HATE,0.9856,"Jawohl, Herr Präsident, das mache ich.  Es wäre hier noch 
einiges aufzuführen, aber Sie können das alles unserem 
Antrag entnehmen. All diese Forderungen zu erfüllen, meine 
Damen und Herren der Landesregierung, wäre die 
Kehrtwende in der hessischen Flüchtlingspolitik, die von 
so vielen Organisationen gefordert wird. Vor allem wäre 
das der Ausdruck einer an Menschenrechten und gelebter 
Humanität orientierten Flüchtlingspolitik, so, wie Sie es im 
Koalitionsvertrag versprochen haben.  Vielen Dank für 
Ihre Aufmerksamkeit. 

(Beifall DIE LINKE)",,
Heike Hofmann (Weiterstadt),SPD,2019-12-11,NON_HATE,0.9879,"Ich komme zum Schluss, Herr Präsident.  Wir sagen aber 
auch Danke an die Bediensteten, die diese schwierige und 
verantwortungsvolle Aufgabe in der Abschiebungshaft 
übernehmen. Das ist eine sehr schwierige Aufgabe. Vielen 
Dank für diese Arbeit, die Sie tagtäglich leisten. 

(Beifall SPD und Marcus Bocklet (BÜNDNIS 90/ 
DIE GRÜNEN)) 

Ich sage Ihnen deutlich: Die Abschiebungshafteinrichtung 
ist eine Verwaltungshaft, die als Ultima Ratio der Durchsetzung 
des Rechts und der Sicherstellung der Rückführung 
dient  nicht mehr und nicht weniger. 

(Beifall SPD)",,
Nadine Gersberg,SPD,2022-11-17,NON_HATE,0.9867,"Alles klar, okay.  Ich schlage vor, dass man auch noch 
einmal über die Systematik der Verteilung spricht. Zu 
prüfen ist z. B., ob es bei Geflüchteten mit Wohnsitzauflagen 
 das ist bei Ukrainern nicht der Fall, aber bei 
anderen  nicht doch ermöglicht werden kann, nach der 
Erstaufnahme in Gebiete mit einem weniger angespannten 
Wohnungsmarkt zu ziehen. Viele wären dazu bereit, um 
endlich mit ihrer Familie in Privatsphäre wohnen zu können, 
wie mir die Geflüchteten gesagt haben.  Danke für 
Ihre Aufmerksamkeit. 

(Beifall SPD und Yanki Pürsün (Freie Demokraten))",,
Dimitri Schulz,AfD,2020-06-25,NON_HATE,0.9884,"Gab es eine Entrüstung der Bundeskanzlerin, als Migrantenbanden 
Stuttgart in ein Schlachtfeld verwandelten? Gibt 
es eine Reaktion der Bundesregierung, wenn Deutsche 
oder weiße Migranten von Kulturfremden in unserem Land 
erstochen werden? 

Die AfD sagt als einzige Partei ganz klar: Die Weißen 
müssen sich nicht schämen. Sie haben Gutes und sie haben 
Schlechtes wie alle anderen getan. 

(Vereinzelter Beifall AfD) 

Es gibt keinen Grund, sich hinzuknien und um Gnade zu 
betteln. Denn Rassismus gibt es immer und überall. Er 
kann sich auch gegen Weiße richten. 

(Beifall AfD)",,
Dr. Frank Grobe,AfD,2022-11-17,NON_HATE,0.987,"Wenn übrigens ein Deutscher im Ausland arbeiten möchte 

 und das machen immer mehr , müssen diese auch immer 
alles selbst zahlen. Diese flüchten nämlich wirklich 
aus unserem Staat, da dieser repressive Übergriffe und zudem 
noch die weltweit höchste Steuer- und Abgabenlast 
aufweist. 
Diese Ursachen sollten wir wirklich zuerst bekämpfen 
und uns wieder für gute und leistungsgerechte Arbeit für 
deutsche Bürger einsetzen. Da das Hessische Berufsqualifikationsfeststellungsgesetz 
die Chancengerechtigkeit nicht 
mehr gewährleistet, lehnen wir diesen Gesetzentwurf ab.  
Vielen Dank. 

(Beifall AfD)",,
Turgut Yüksel,SPD,2019-12-11,NON_HATE,0.9846,"Die Integrationskommission lehnen wir als SPD ab. Solange 
es kein kommunales Wahlrecht für Nicht-EU-Bürger 
gibt, brauchen wir Ausländerbeiräte. 

(Beifall SPD) 

Der Einführung von Integrationskommissionen zum Abbau 
von Demokratie wird die SPD nicht zustimmen. Im Gegen

 
2055 

teil, wir lehnen als SPD-Fraktion alle Umstrukturierungsmodelle 
zur Gestaltung von Ausländerbeiräten ab, die die 
politische Partizipation von Ausländerinnen und Ausländern 
einschränken. Dieses Parlament sollte mündige Bürgerinnen 
und Bürger in Hessen unterstützen, statt ihnen die 
Rechte zu entziehen.  Vielen Dank. 

(Beifall SPD und DIE LINKE)",,
Saadet Sönmez,DIE LINKE,2020-06-24,NON_HATE,0.987,"Ich komme zum Schluss.  Das wird aber weiterhin konsequent 
ignoriert. Dann passieren eben solche Sachen wie in 
Frankfurt-Bonames: dass Flüchtlinge in von Schimmel befallenen 
Gebäuden leben. Die Landesregierung kann sich 
hier nicht wegducken. Sie tragen schließlich Verantwortung 
für diese Menschen. 

Sie sehen also, es gibt noch viel Entwicklungspotenzial in 
Ihrem Gesetzentwurf. Ich denke, das werden Ihnen die Ehrenamtler 
in den Anhörungen auch noch einmal sagen. 
Vielleicht nehmen Sie sie jetzt ausnahmsweise einmal ernst 
und leisten dem Folge, was sie Ihnen empfehlen.  Vielen 
Dank für Ihre Aufmerksamkeit. 

(Beifall DIE LINKE und vereinzelt SPD)",,
Volker Richter,AfD,2023-06-29,NON_HATE,0.9874,"Sehr geehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Das würde auch reichen. Die Diskussion ist 
sehr beschämend. 

(Beifall AfD) 

Das, was ich hier heute erlebt habe: Die LINKEN nutzen 
diese Flüchtlingssituation, machen ihre Schiffchen, 
machen Bilder und werden sich damit im Wahlkampf in irgendeiner 
Form als die großen Helfer darstellen. Niemand 
von Ihnen hat über die Fluchtursachen gesprochen, niemand. 

(Beifall AfD) 

Herr Hering nimmt Positionen ein, die die AfD schon 2015 
gehabt hat, und tut jetzt so, als hätte es die CDU erfunden. 

(Elisabeth Kula (DIE LINKE): Eine Ursache ist der 
Klimawandel, den Sie ja leugnen!  Weitere Zurufe)",,
Saadet Sönmez,DIE LINKE,2020-05-06,NON_HATE,0.9864,"Aber den von Abschiebung betroffenen Menschen dürfte 
es eigentlich auch egal sein, ob sie von Wachpolizisten 
oder von Polizeivollzugsbediensteten abgeschoben werden. 

 
2951 

Für sie ist und uns bleibt die Abschiebung ein unmenschlicher 
Akt, ein Herausreißen aus dem bisherigen Leben und 
ein gewaltvolles Verbringen an einen anderen Ort, an dem 
sie nicht sein können und vielleicht auch nicht sein wollen, 
meine Damen und Herren. 

Wir LINKE werden uns deshalb grundsätzlich gegen das 
Instrument der Abschiebung stellen, weshalb wir auch diesen 
Gesetzentwurf, der Abschiebungen noch mehr erleichtern 
soll, ablehnen.  Vielen Dank. 

(Beifall DIE LINKE  Zurufe)",,
Saadet Sönmez,DIE LINKE,2022-07-14,NON_HATE,0.9883,"Ich komme zum Schluss, Herr Präsident.  Setzen Sie sich 
dafür ein, dass eben diese Situation, die Ausbeutung des 
globalen Südens, endlich beendet wird. Dann würden sich 
die Menschen auch nicht auf diesen gefährlichen Weg hierher 
zu uns machen. 

(Beifall DIE LINKE  Robert Lambrou (AfD): Sie 
können Fluchtursachen nicht beseitigen!) 

In dieser Situation mit einer angeblichen Massenmigration 
Angst zu schüren, 

(Robert Lambrou (AfD): Millionen Menschen seit 
2015 sind Masseneinwanderung!) 

das ist nicht nur Nonsens, das ist nicht nur die Unwahrheit 
sagen, sondern das ist ignorant und gefährlich zugleich, 
meine Damen und Herren der AfD. 

(Beifall DIE LINKE)",,
Holger Bellino,CDU,2023-06-29,NON_HATE,0.9875,"Herr Präsident, meine sehr geehrten Damen und Herren! 
Ich bitte darum, dass in der nächsten Sitzung des Ältestenrates 
geprüft wird, ob der Begriff Flüchtlinge bekämpfen 
rügenswert ist. Ich verweise darauf, dass Abg. Hering 
mehr oder weniger dafür gerügt wurde, dass er in seiner 
Rede die Rede der Vorrednerin mit schreienden Kindern im 
Sandkasten verglich. Das war eine Ermahnung wert. Vor 
diesem Hintergrund halte ich es für notwendig, dass wir 
uns im Ältestenrat damit befassen, ob sich frei gewählte 
Abgeordnete sagen lassen müssen, dass sie Flüchtlinge bekämpfen, 
wenn sie sich mit diesem sensiblen Thema hier 
auseinandersetzen. 

(Beifall Alexander Bauer (CDU))",,
