id,doc_id,text,p_hate,label
14,047461152_20_2019-24_pdf_077_047461152_20_2019-24_pdf_077_0003,"49. 
Beschlussempfehlung und BerichtInnenausschuss 
EntschließungsantragFraktion der CDU, Fraktion BÜNDNIS 90/
DIE GRÜNEN 
Angepasste und verantwortungsbewussteAusbildung bei der freiwilligen Feuerwehrunter erschwerten Pandemiebedingungen Drucks. 20/5711 
zu Drucks. 20/5682 ...........6227 
Beschlussempfehlung angenommen....................6227

63. 
Beschlussempfehlung und BerichtSozial-und Integrationspolitischer Ausschuss 
AntragDr. Daniela Sommer (SPD), Lisa Gnadl 
(SPD), Ulrike Alex (SPD), Frank-Tilo Becher 
(SPD), Wolfgang Decker (SPD), Nadine 
Gersberg (SPD), Turgut Yüksel 
(SPD), Fraktion der SPDGesundheitsversorgung für Kinder und Jugendliche 
sicherstellen Drucks. 20/5861 
zu Drucks. 20/5737 ...........6227 
Beschlussempfehlung angenommen....................6227

64. 
Beschlussempfehlung und BerichtSozial-und Integrationspolitischer Ausschuss 
Dringlicher AntragDr. Daniela Sommer (SPD), Lisa Gnadl 
(SPD), Ulrike Alex (SPD), Frank-Tilo Becher 
(SPD), Wolfgang Decker (SPD), Tobias 
Eckert (SPD), Nadine Gersberg (SPD),
Turgut Yüksel (SPD), Fraktion der SPDImpfgeschehen, Impftempo und Impfquote Drucks. 20/5862 
zu Drucks. 20/5784 ...........6227 
Beschlussempfehlung ang",0.02179452,NON_HATE
15,047461152_20_2019-24_pdf_141_047461152_20_2019-24_pdf_141_0096,"Das gilt ganz besonders für obdachlose Menschen und jene 
Migranten, welche in ihrem Heimatland Gewalt erfahren 
haben; denn denen tun Sie mit diesem Gesetz keinen Gefallen.",0.37438026,NON_HATE
16,047461152_20_2019-24_pdf_039_047461152_20_2019-24_pdf_039_0058," Doch, genau das ist das Thema.  Anstatt hiergegen etwas 
zu tun und uns das schon vor Monaten angekündigte 
Landesaufnahmeprogramm vorzulegen, lassen Sie uns jetzt 
über so einen Staatsvertrag abstimmen und wollen ihn 
durchwinken. Meine Damen und Herren, mit dieser Haltung 
machen Sie sich aber mitschuldig. 
(Zurufe CDU)

Sie machen sich mitschuldig am Elend dieser Menschen, 
die in den Flüchtlingslagern elendig vor sich hinkrepieren 
müssen und die reihenweise im Mittelmeer ertrinken. Sie 
machen sich mit dieser Haltung mitschuldig. Dessen müssen 
Sie sich bewusst sein.",0.91311735,NON_HATE
17,047461152_20_2019-24_pdf_101_047461152_20_2019-24_pdf_101_0004,"29. 
AntragFraktion der Freien Demokraten 
Kunst ohne Kopierschutz! Nutzung freier 
Lizenzen in hessischen Museen ermöglichen 
 Kunst liberalisieren 
 Drucks. 20/5068 ............................................8203 
Von der Tagesordnung abgesetzt.........................8203

30. 
AntragFraktion DIE LINKE 
Abschiebungen nach Somalia aussetzen Drucks. 20/5492 ............................................8203 
Von der Tagesordnung abgesetzt.........................8203",0.16938497,NON_HATE
18,047461152_20_2019-24_pdf_111_047461152_20_2019-24_pdf_111_0016,"Sehr geehrter Herr Präsident, meine sehr verehrten Kollegen! 
Ich habe überlegt, wie man jetzt adäquat darauf 
reagiert, was der Kollege Lambrou vorgetragen hat. Ich 
glaube, das Einfachste ist vielleicht, Frau Kollegin Sönmez, 
wir berichten einmal von der Besuchergruppe, deren 
Treffen gestern stattgefunden hat. Dort saßen wir bei einer 
Besuchergruppe eines Integrations- und Sprachkurses mit 
Frau Heitland und anderen. Es waren 43 Menschen, 43 
Nicht-Deutsche, die darum gebeten haben, dass ihre Inte

gration schneller stattfindet, weil sie arbeiten möchten. Da 
saß auch ein Herr Lambrou.",0.0150490105,NON_HATE
19,047461152_20_2019-24_pdf_107_047461152_20_2019-24_pdf_107_0082,"(Vereinzelter Beifall BÜNDNIS 90/DIE GRÜNEN 
und CDU)

Genauso wird in dem Antrag davon gesprochen, dass es 
in Thüringen die Gesundheitskarte für die Geflüchteten 
gebe und dass Geflüchtete in Thüringen dieselbe Gesundheitsversorgung 
hätten wie alle anderen Menschen in der 
gesetzlichen Krankenversicherung.  Auch das entspricht 
leider nicht der Realität; denn das, was in Thüringen geschaffen 
wurde, ist einfach nur eine Form der Abrechnung. 
Während in Hessen Geflüchtete mit einem Krankenschein 
abgerechnet werden, passiert das in Thüringen mit einer 
Krankenkassenkarte. Aber die Leistungen unterscheiden 
sich kein bisschen: Die Leistungen für Geflüchtete in Hessen 
sind exakt dieselben wie in Thüringen. Wenn wir das 
ändern wollen, dann müssen wir das Bundesgesetz ändern, 
dann müssen wir Asylsuchende genauso gleichstellen wie

z. B. ALG-II-Empfänger, und dafür setzen wir als GRÜNE 
uns schon lange ein. 
(Beifall BÜNDNIS 90/DIE GRÜNEN  Zurufe DIE 
LINKE)",0.01658473,NON_HATE
20,047461152_20_2019-24_pdf_051_047461152_20_2019-24_pdf_051_0003,"64. 
Beschlussempfehlung und BerichtSozial-und Integrationspolitischer Ausschuss 
EntschließungsantragFrank-Tilo Becher (SPD), Lisa Gnadl 
(SPD), Ulrike Alex (SPD), Wolfgang Decker 
(SPD), Nadine Gersberg (SPD), Dr. 
Daniela Sommer (SPD), Turgut Yüksel 
(SPD), Fraktion der SPDHumanitäre Aufnahme von Flüchtlingen inHessen 
 Drucks. 20/3447 
zu Drucks. 20/3003 ...........3894 
Beschlussempfehlung angenommen....................3894

65. 
Beschlussempfehlung und BerichtSozial-und Integrationspolitischer Ausschuss 
AntragFraktion der SPD 
Hoher Ausbau- und Investitionsbedarf bei 
Kindertageseinrichtungen  Landesprogramm 
ist ein Tropfen auf den heißen Stein Drucks. 20/3448 
zu Drucks. 20/3015 ...........3895 
Beschlussempfehlung angenommen....................3895

66. 
Beschlussempfehlung und BerichtSozial-und Integrationspolitischer Ausschuss 
Dringlicher EntschließungsantragFraktion der CDU, Fraktion BÜNDNIS 90/
DIE GRÜNEN 
Kitas in Hessen sind gut aufgestellt: Hessenstellt eine Milliarde für Kinderbetreuung 
bereit 
 Drucks. 20/3449 
zu Drucks. 20/3075 ...........3895 
Beschlussempfehlung angenommen....................3895",0.05308966,NON_HATE
21,047461152_20_2019-24_pdf_031_047461152_20_2019-24_pdf_031_0078,"2474 
Hessischer Landtag · 20. Wahlperiode · 31. Sitzung · 29. Januar 2020

Zusammengefasst kann man eigentlich sagen, dass das Interesse 
an Migrantinnen und Migranten nur darin besteht, 
wie man sie am besten dem Niedriglohnsektor zuführen 
kann.",0.014926901,HATE
22,047461152_20_2019-24_pdf_091_047461152_20_2019-24_pdf_091_0098,"Sehr verehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Im Teilhaushalt 08 haben wir als Alternative 
für Deutschland eine Vielzahl an Leistungen, welche wir 
erheblich kürzen möchten, um zum einen den Haushalt zu 
entlasten und zum anderen Mittel für andere Zwecke frei 
zu machen, die wir für wichtiger erachten. Es gibt davon 
sehr viel, was enorm wichtig ist und unseren Bürgern auch 
wieder zurückgegeben werden muss.

(Beifall AfD  Felix Martin (BÜNDNIS 90/DIEGRÜNEN: Lassen Sie mich raten: bei den Flüchtlingen!)

Da bedankt sich die AfD mit einem Blick nach links bei 
Unternehmern und Arbeitnehmern; denn die Zeiten des 
Klassenkampfes sind vorbei, auch wenn DIE LINKE diesen 
Irrsinn wieder herrufen möchte.",0.02217555,NON_HATE
23,047461152_20_2019-24_pdf_025_047461152_20_2019-24_pdf_025_0101,"Dabei werden durch diese Unterbringung von Flüchtlingen 
in einem als Studentenwohnheim geeigneten Gebäude die 
Studenten benachteiligt oder sogar diskriminiert, die verzweifelt 
eine Bleibe suchen.",0.018833296,HATE
24,047461152_20_2019-24_pdf_058_047461152_20_2019-24_pdf_058_0087,"Sehr verehrter Herr Präsident, meine Damen und Herren! 
Mit dem Landesaufnahmegesetz überträgt das Land, was 
die Aufnahme und die Unterbringung von Schutzsuchenden 
angeht, bestimmte Aufgaben den Kommunen, und erstattet 
diesen wiederum die Kosten.

Nun angelangt in der dritten Lesung, hatten wir bereits öfter 
Gelegenheit, über die Novellierung dieses Gesetzes zu",0.4432939,NON_HATE
25,047461152_20_2019-24_pdf_126_047461152_20_2019-24_pdf_126_0026,"Anschließend legte er auch noch mit der Forderung nach 
einer Rückführungsoffensive  übersetzt: jetzt schnell 
viele Menschen abschieben  nach.

Dann spitze ich eben auch einmal zu. Wenn wir etwas in 
diesem Land sicher nicht brauchen, dann sind das kleine 
Paschas der Union, wie etwa Herr Merz, die sich rechtsaußen anbiedern und damit Öl ins Feuer der rechts vergifteten 
Debatte kippen, meine Damen und Herren.",0.39282322,HATE
26,047461152_20_2019-24_pdf_011_047461152_20_2019-24_pdf_011_0056,"Gibt es Überlegungen innerhalb der Landesregierung, die 
Beschäftigung und Integration von Menschen mit Handicap 
dadurch zu fördern, dass sie weitere Auszeichnungen/ 
Preise auf Landesebene auslobt und darüber hinaus solche 
Preisverleihungen auch auf Städte-und Landkreisebene 
anregt?

Antwort Kai Klose, Minister für Soziales und Integration:",0.014467665,NON_HATE
27,047461152_20_2019-24_pdf_140_047461152_20_2019-24_pdf_140_0028,"Das Sozialbudget wirkt mit unserem WIR-Programm in 
der hessenweiten Struktur für Teilhabe und Integration vor 
Ort und stärkt so den gesellschaftlichen Zusammenhalt. 
Das Sozialbudget wirkt an diesen und an vielen anderen 
Stellen, und es wirkt vor allem durch diejenigen, die mit 
ihrer täglichen Arbeit oder ihrem persönlichen Engage",0.2614989,NON_HATE
28,047461152_20_2019-24_pdf_007_047461152_20_2019-24_pdf_007_0037,"Gerade der Bereich Rückführungen ist auch für die Behörden 
politisch höchst brisant. Auch aus diesem Grunde wird 
größtmögliche Vorsicht an den Tag gelegt, was diese Maß",0.29757935,NON_HATE
29,047461152_20_2019-24_pdf_096_047461152_20_2019-24_pdf_096_0002,"19. 
Große AnfrageVolker Richter (AfD), Claudia Papst-Dippel 
(AfD), Arno Enners (AfD), Klaus Herrmann 
(AfD), Dirk Gaw (AfD), Karl Hermann 
Bolldorf (AfD)
Folgefragen  Antwort auf die Kleine Anfrage 
Positiv auf SARS-CoV-2 getesteteBewohner der Hessischen Erstaufnahmeeinrichtung 
(HEAE) in Neustadt/Hessen  
Teil I und Teil II; Drucks. 20/4145 und 
20/4146 Drucks. 20/6117 
zu Drucks. 20/5282 ...........7758

Antwort dem Sozial-und Integrationspolitischen 
Ausschuss zur weiteren Beratung überwiesen..................................................................7758

20. 
Große AnfrageDimitri Schulz (AfD), Volker Richter 
(AfD), Arno Enners (AfD), Klaus Herrmann 
(AfD), Dirk Gaw (AfD)
Der Frankfurter Weg, die BtM-Kriminalität 
und die Sozialarbeit in Hessen 
 Drucks. 20/6138 
zu Drucks. 20/3501 ...........7758",0.17966369,NON_HATE
30,047461152_20_2019-24_pdf_126_047461152_20_2019-24_pdf_126_0026,"(Dr. Stefan Naas (Freie Demokraten): Ja, die schweigen 
da!)

Mich würde interessieren: War die Forderung nach einer 
solchen Rückführungsoffensive abgesprochen? Teilen Sie 
diese Auffassung? Kommen denn die Hilferufe aus den 
Landkreisen bei Ihnen an?  Schweigen im grünen Walde. 
Wir als LINKE werden uns dieser Stimmungsmache gegen 
Geflüchtete und Migranten immer entgegenstellen, egal ob 
sie von ganz rechts außen oder von der Regierungsbank 
kommt.",0.3112931,NON_HATE
31,047461152_20_2019-24_pdf_114_047461152_20_2019-24_pdf_114_0116,"AntragLisa Gnadl (SPD), Ulrike Alex (SPD), Nadine Gersberg(SPD), Dr. Daniela Sommer (SPD), Turgut Yüksel 
(SPD), Fraktion der SPDBedarfsgerechte Finanzierung des Landeswohlfahrtsverbandes 
sicherstellen, der Landesverantwortung gerecht 
werden, Kommunen nicht weiter belasten 
 Drucks. 20/7303 

an den Sozial- und Integrationspolitischen Ausschuss überweisen 
möchte.  Wir sehen keinen Widerspruch, und ich 
hoffe, dass ich auch bei Ihnen keinen Widerspruch sehe.

 Dann überweisen wir den Antrag an den Sozial-und 
Integrationspolitischen Ausschuss. 
Dann darf ich darüber hinaus noch einmal bitten, dass wir 
zu einer Abstimmung eine Erklärung zur Kenntnis nehmen 
und diese damit auch gleich zu Protokoll geben.  Herr 
Kollege, Sie haben das Wort.",0.014617063,NON_HATE
32,047461152_20_2019-24_pdf_081_047461152_20_2019-24_pdf_081_0004,"20. 
Große AnfrageDr. Daniela Sommer (SPD), Lisa Gnadl 
(SPD), Frank-Tilo Becher (SPD), Ulrike 
Alex (SPD), Wolfgang Decker (SPD), Nadine 
Gersberg (SPD), Turgut Yüksel 
(SPD), Fraktion der SPDKinderrechte in Hessen 
 Drucks. 20/4427 
zu Drucks. 20/3469 ...........6566 
Von der Tagesordnung abgesetzt.........................6566

21. 
Große AnfrageFraktion der AfD 
Fiskalische Lasten der Zuwanderung Drucks. 20/4448 
zu Drucks. 20/2962 ...........6566 
Von der Tagesordnung abgesetzt.........................6566

22. 
Große AnfrageVolker Richter (AfD), Dimitri Schulz 
(AfD), Claudia Papst-Dippel (AfD), Arno 
Enners (AfD), Fraktion der AfDMuezzin-Rufe in Hessen 
 Drucks. 20/5128 
zu Drucks. 20/3809 ...........6566 
Von der Tagesordnung abgesetzt.........................6566",0.1598785,NON_HATE
33,047461152_20_2019-24_pdf_145_047461152_20_2019-24_pdf_145_0039,"Antwort Peter Beuth, Minister des Innern und für 
Sport:

Die am 28. Januar 2020 veröffentlichte Förderrichtlinie 
Elektronische Ausländerakte gewährt Zuwendungen 
nach §§ 23 und 44 LHO im Rahmen einer Festbetragsfinanzierung.

Zu obigem Zeitpunkt hatten acht Ausländerbehörden bereits 
mehrere Jahre zuvor weitestgehend die elektronische 
Ausländerakte im Rahmen eigener Organisationsentscheidungen 
eingeführt. Eine mögliche finanzielle Zuwendung 
durch das Land Hessen war bei den jeweiligen Beauftragungen 
nicht absehbar.",0.021480938,NON_HATE
34,047461152_20_2019-24_pdf_084_047461152_20_2019-24_pdf_084_0068,"Nein, wir haben genug von dem Zeug gehört.  Aber das 
ist nichts Neues bei Ihnen: Wer von todbringender Messermigration, 
alimentierten Messermännern, Kopftuchmädchen 
und sonstigen Taugenichtsen spricht, Migranten 
als Parasiten und Gesindel bezeichnet, Türkei",0.27252793,HATE
35,047461152_20_2019-24_pdf_111_047461152_20_2019-24_pdf_111_0015,"Herr Präsident, meine Damen und Herren und im Speziellen 
die Damen und Herren der AfD! Herr Lambrou, jetzt 
hat man es Ihnen, glaube ich, viermal sachlich erklärt, wie 
die Situation ist und wie sich die Situation darstellt. Immer 
noch rufen Sie rein: Das befördert illegale Migration.

(Robert Lambrou (AfD): Ich habe es Ihnen auch 
erklärt in meiner Rede!)",0.0142995855,HATE
36,047461152_20_2019-24_pdf_131_047461152_20_2019-24_pdf_131_0091,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das durch die Inflationseffekte kräftig in die öffentlichen 
Kassen sprudelt, seinen Bürgern eigentlich zurückgeben 
und dürfte es nicht für zusätzliche Migration verpulvern.",0.21266924,HATE
37,047461152_20_2019-24_pdf_015_047461152_20_2019-24_pdf_015_0039,"Mir liegen keine weiteren Wortmeldungen vor.

Damit wird der Gesetzentwurf nach der ersten Lesung zur 
weiteren Beratung an den Sozial-und Integrationspolitischen 
Ausschuss überwiesen.",0.5117715,NON_HATE
38,047461152_20_2019-24_pdf_058_047461152_20_2019-24_pdf_058_0015,"Herzlichen Dank, Herr Minister.  Damit sind wir am Ende 
der Debatte zu den Tagesordnungspunkten 75 und 93.

Gehen beide Anträge an den Ausschuss?  Beide Anträge 
werden zur weiteren Beratung an den Sozial- und Integrationspolitischen 
Ausschuss überwiesen.",0.26007593,NON_HATE
39,047461152_20_2019-24_pdf_045_047461152_20_2019-24_pdf_045_0069,"Die Gebietskörperschaften müssen die finanziellen und organisatorischen 
Konsequenzen mit dem Land als Auftraggeber 
gut ausverhandeln. Mehr war auch nicht drin, wie es 
von der kommunalen Ebene zu hören ist. So entsteht Zustimmung 
zu einem Verhandlungsergebnis. Das ist erst einmal 
okay.

Meine Damen und Herren, damit ist aber noch lange nicht 
entschieden, ob die Landesregierung die selbst auferlegte 
Messlatte für eine humane Flüchtlings-und Asylpolitik 
reißt oder nicht. Dazu haben wir dann doch noch einmal 
Gesprächs- und Erklärungsbedarf, den ich an drei Beispielen 
verdeutlichen möchte.",0.012622881,NON_HATE
40,047461152_20_2019-24_pdf_099_047461152_20_2019-24_pdf_099_0025,"Sie haben einige Dinge angesprochen, die ich ausdrücklich 
unterstreiche und verstärke. Ja, wir brauchen Verfahrensvereinfachungen 
bei den ausländerrechtlichen Registrierungen. 
Auch wenn es darum geht, Leistungen zu gewähren, 
könnten wir uns überlegen, ob es nicht sinnvoller 
ist, z. B. Anträge auf die Beschaffung von Möbeln und 
von Bekleidung in Fällen von Schwangerschaft und Geburt 
pauschal und ohne weitere Prüfung zu genehmigen.

Wenn ich daran denke, wie kompliziert die Abrechnungsverfahren 
für die Kommunen sind, wenn sie Unterkünfte 
anmieten: Wir haben gerade dieser Tage den Bericht des 
Rechnungshofs bekommen, in dem gesagt wird, zum Teil 
wurde für Flüchtlingsunterkünfte zu viel bezahlt.  Wie 
sollen wir das in der Not anders machen, wenn wir ein 
kompliziertes Vergaberecht haben? Hier geht es darum, 
dass die Menschen ein Dach über dem Kopf haben, schlafen 
können, ordentlich versorgt werden. Da brauchen wir 
keine kleinlichen, bürokratischen Verfahren. Wir erwarten, 
dass alle Behörden ordentlich zusammenarbeiten  zum 
Wohle der Menschen  und dass man das hinterher nicht 
kleinkariert kritisiert. Ich will das hier deutlich sagen. An 
der Stelle hört mein Verständ",0.014320357,NON_HATE
41,047461152_20_2019-24_pdf_096_047461152_20_2019-24_pdf_096_0001,"11. 
Große AnfrageVolker Richter (AfD), Arno Enners (AfD),
Klaus Herrmann (AfD), Dimitri Schulz 
(AfD), Fraktion der AfDSozialleistungsbezug durch Personen mit 
ausländischer Staatsangehörigkeit bei fehlendem 
tatsächlichem oder gewöhnlichem 
Aufenthalt 
 Drucks. 20/5203 
zu Drucks. 20/4199 ...........7758 
Antwort dem Sozial-und Integrationspolitischen 
Ausschuss zur weiteren Beratung überwiesen...................................................................7758

12. 
Große AnfrageVolker Richter (AfD), Claudia Papst-Dippel 
(AfD), Arno Enners (AfD), Klaus Gagel(AfD), Dr. Frank Grobe (AfD)
Etwaige Umsetzung des § 20 Abs. 6 IfSG inHessen und der BRD 
 Drucks. 20/5216 
zu Drucks. 20/5087 ...........7758 
Antwort dem Sozial-und Integrationspolitischen 
Ausschuss zur weiteren Beratung überwiesen...................................................................7758

14. 
Große AnfrageVolker Richter (AfD), Arno Enners (AfD),
Claudia Papst-Dippel (AfD), Klaus Herrmann 
(AfD), Dirk Gaw (AfD), Bernd-ErichVohl (AfD), Erich Heidkamp (AfD), RobertLambrou (AfD)
Razzien und neuerliche Vorkommnisse in 
Bezug auf die AWO e. V.
 Drucks. 20/5473 
zu Drucks. 20/4358 ...........7758 
Ant",0.2813462,NON_HATE
